,Phoenix Trades - 25K-75K Challenge,,,,,,,,,,,,,,
Trade #,Ticker,Trade Enter,Trade Exit,Exp Date,Strike,C/P,Initial Contracts,# of Contracts,Average Cost/Option,$ Average Cost,Market Value,% Gain,$ Gain,Open/Closed,Notes
317,GOOGL,2025-08-18,2025-08-19,2025-09-19,200,P,2,2,5.4,1080,1300,220,20.37,Closed,"Added 2 contracts on 8/18 @ 5.40, Sold 2 on 8/19 @ 6.50"
318,ZS,2025-08-19,2025-08-20,2025-09-19,277.5,C,2,2,20,4000,2980,-1020,-25.5,Closed,"Added 2 contracts on 8/19 @ 20.00, Sold 2 on 8/20 @ 14.90"
319,META,2025-08-19,2025-08-22,2025-09-19,755,C,1,2,20.38,4076,4720,88,2.16,Closed,"Added 1 contracts on 8/19 @ 24.90, Added 1 on 8/19 @ 23.90, Added 2 on 8/20 @ 16.35, Sold 1 on 8/20 @ 17.10, Sold 1 on 8/22 @ 18.10, Sold 2 on 8/22 @ 23.60"
320,BMNR,2025-08-19,2025-08-22,2025-09-19,46,P,2,1,5,500,385,-165,-33,Closed,"Added 2 contracts on 8/19 @ 5.00, Sold 1 on 8/20 @ 4.50, Sold 1 on 8/22 @ 3.85"
321,META,2025-08-19,2025-08-20,2025-08-29,747.5,P,1,1,12.65,1265,1980,715,56.52,Closed,"Added 1 contracts on 8/19 @ 12.65, Sold 1 on 8/20 @ 19.80"
322,TGT,2025-08-19,2025-08-20,2025-08-29,99,P,1,1,2.6,260,400,140,53.85,Closed,"Added 1 contracts on 8/19 @ 2.60, Sold 1 on 8/20 @ 4.00"
323,META,2025-08-20,2025-08-22,2025-08-29,722.5,P,1,1,10,1000,205,-550,-55,Closed,"Added 1 contracts on 8/20 @ 10.00, Sold 1 on 8/22 @ 4.50"
324,NFLX,2025-08-20,2025-08-22,2025-10-17,1240,C,2,1,49.6,4960,5110,90,1.81,Closed,"Added 2 contracts on 8/20 @ 49.60, Sold 1 on 8/22 @ 49.00, Sold 1 on 8/22 @ 51.10"
325,NFLX,2025-08-20,2025-08-21,2025-09-05,1160,P,1,1,14.55,1455,990,-465,-31.96,Closed,"Added 1 contracts on 8/20 @ 14.55, Sold 1 on 8/21 @ 9.90"
326,TSLA,2025-08-20,2025-08-22,2025-09-19,300,P,1,1,8.75,875,415,-460,-52.57,Closed,"Added 1 contracts on 8/20 @ 8.75, Sold 1 on 8/22 @ 4.15"
327,PLTR,2025-08-20,2025-08-22,2025-09-19,145,C,3,2,11.7,2340,4210,2285,97.65,Closed,"Added 3 contracts on 8/20 @ 11.70, Sold 1 on 8/20 @ 15.85, Sold 2 on 8/22 @ 21.05"
328,QQQ,2025-08-20,2025-08-21,2025-08-25,564,P,2,2,4.05,810,1100,290,35.8,Closed,"Added 2 contracts on 8/20 @ 4.05, Sold 2 on 8/21 @ 5.50"
329,PLTR,2025-08-20,2025-08-22,2025-08-29,157.5,P,1,1,6.55,655,260,-395,-60.31,Closed,"Added 1 contracts on 8/20 @ 6.55, Sold 1 on 8/22 @ 2.60"
330,CVNA,2025-08-21,2025-08-22,2025-09-19,350,P,1,1,24.4,2440,1620,-820,-33.61,Closed,"Added 1 contracts on 8/21 @ 24.40, Sold 1 on 8/22 @ 16.20"
331,QQQ,2025-08-21,2025-08-22,2025-08-29,563,P,1,1,6.55,655,235,-420,-64.12,Closed,"Added 1 contracts on 8/21 @ 6.55, Sold 1 on 8/22 @ 2.35"
332,IWM,2025-08-22,2025-08-22,2025-09-19,230,C,5,5,7.4,3700,4375,675,18.24,Closed,"Added 5 contracts on 8/22 @ 7.40, Sold 5 on 8/22 @ 8.75"
